Reporting Area,MMWR Year,MMWR Week,"Severe acute respiratory syndrome-associated coronavirus desease, Current week","Severe acute respiratory syndrome-associated coronavirus desease, Current week, flag","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†","Severe acute respiratory syndrome-associated coronavirus desease, Previous 52 weeks Max†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2020†, flag","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†","Severe acute respiratory syndrome-associated coronavirus desease, Cum 2019†, flag","Shiga toxin-producing Escherichia coli(STEC), Current week","Shiga toxin-producing Escherichia coli(STEC), Current week, flag","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†","Shiga toxin-producing Escherichia coli(STEC), Previous 52 weeks Max†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†","Shiga toxin-producing Escherichia coli(STEC), Cum 2020†, flag","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†","Shiga toxin-producing Escherichia coli(STEC), Cum 2019†, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Max†","Shigellosis, Previous 52 weeks Max†, flag","Shigellosis, Cum 2020†","Shigellosis, Cum 2020†, flag","Shigellosis, Cum 2019†","Shigellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
ARIZONA,2020,7,,-,0,,,-,,-,2,,12,,25,,19,,5,,17,,52,,35,,ARIZONA,,20200749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200764,
WISCONSIN,2020,7,,-,0,,,-,,-,2,,31,,29,,35,,2,,9,,14,,18,,WISCONSIN,,20200719,POINT (-89.732969 44.639954)
IDAHO,2020,7,,-,0,,,-,,-,,-,11,,1,,12,,,-,7,,,-,4,,IDAHO,,20200751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200768,POINT (-64.840836 18.060868)
MICHIGAN,2020,7,,-,0,,,-,,-,,-,15,,4,,35,,1,,12,,16,,24,,MICHIGAN,,20200717,POINT (-85.730977 44.874798)
GEORGIA,2020,7,,-,0,,,-,,-,,-,17,,11,,7,,,-,14,,30,,36,,GEORGIA,,20200732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,7,,-,0,,,-,,-,,-,26,,43,,76,,13,,55,,140,,153,,,NEW YORK CITY,20200712,
ARKANSAS,2020,7,,-,0,,,-,,-,,-,12,,5,,4,,1,,14,,6,,8,,ARKANSAS,,20200744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,7,,-,0,,,-,,-,,-,5,,5,,9,,1,,9,,9,,29,,MISSISSIPPI,,20200741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,7,,-,0,,,-,,-,,-,20,,1,,5,,,-,2,,,-,3,,SOUTH DAKOTA,,20200727,POINT (-100.230491 44.43614)
WYOMING,2020,7,,-,0,,,-,,-,,-,6,,2,,1,,,-,1,,,-,,-,WYOMING,,20200756,POINT (-107.55145 42.999627)
MISSOURI,2020,7,,-,0,,,-,,-,,-,20,,11,,29,,,-,7,,7,,13,,MISSOURI,,20200724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,7,,-,0,,,-,,-,3,,63,,110,,142,,18,,76,,216,,366,,,MIDDLE ATLANTIC,20200709,
CALIFORNIA,2020,7,,-,0,,,-,,-,2,,94,,83,,218,,1,,99,,198,,399,,CALIFORNIA,,20200759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,7,,-,0,,,-,,-,,-,4,,,-,4,,,-,2,,,-,1,,WEST VIRGINIA,,20200737,POINT (-80.613729 38.642579)
FLORIDA,2020,7,,-,0,,,-,,-,9,,33,,63,,80,,16,,42,,63,,203,,FLORIDA,,20200731,POINT (-82.420978 28.260731)
MONTANA,2020,7,,-,0,,,-,,-,1,,4,,5,,9,,,-,2,,3,,,-,MONTANA,,20200752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,7,,-,0,,,-,,-,1,,81,,44,,84,,,-,15,,31,,46,,,WEST NORTH CENTRAL,20200720,
MASSACHUSETTS,2020,7,,-,0,,,-,,-,,-,8,,13,,7,,2,,12,,29,,21,,MASSACHUSETTS,,20200705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,7,,-,0,,,-,,-,4,,52,,84,,102,,9,,38,,107,,87,,,MOUNTAIN,20200748,
INDIANA,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,7,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,,NON-US RESIDENTS,20200769,
US TERRITORIES,2020,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200763,
TOTAL,2020,8,,-,0,,,-,,-,35,,544,,859,,1252,,119,,549,,1629,,2212,,,TOTAL,20200870,
US RESIDENTS,2020,8,,-,0,,,-,,-,35,,544,,859,,1251,,119,,549,,1629,,2212,,,US RESIDENTS,20200801,
NEW HAMPSHIRE,2020,8,,-,0,,,-,,-,,-,3,,3,,4,,,-,2,,,-,3,,NEW HAMPSHIRE,,20200806,POINT (-71.57139 43.680429)
NEW YORK,2020,8,,-,0,,,-,,-,5,,36,,37,,29,,3,,15,,32,,35,,NEW YORK,,20200811,POINT (-75.59655 42.921241)
PACIFIC,2020,8,,-,0,,,-,,-,,-,116,,168,,315,,5,,106,,309,,557,,,PACIFIC,20200857,
WEST SOUTH CENTRAL,2020,8,,-,0,,,-,,-,7,,91,,67,,106,,56,,336,,384,,311,,,WEST SOUTH CENTRAL,20200843,
NEBRASKA,2020,8,,-,0,,,-,,-,1,,12,,16,,12,,2,,6,,6,,11,,NEBRASKA,,20200825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,8,,-,0,,,-,,-,2,,69,,43,,57,,1,,44,,128,,102,,,EAST SOUTH CENTRAL,20200838,
NORTH DAKOTA,2020,8,,-,0,,,-,,-,,-,9,,3,,2,,,-,5,,5,,5,,NORTH DAKOTA,,20200826,POINT (-100.46931 47.446305)
NEVADA,2020,8,,-,0,,,-,,-,,-,4,,3,,2,,,-,4,,9,,8,,NEVADA,,20200853,POINT (-114.916992 39.283294)
ILLINOIS,2020,8,,-,0,,,-,,-,,-,23,,23,,44,,,-,16,,35,,58,,ILLINOIS,,20200815,POINT (-89.148632 40.124144)
IOWA,2020,8,,-,0,,,-,,-,,-,35,,19,,32,,2,,6,,21,,9,,IOWA,,20200821,POINT (-93.500061 42.074659)
TEXAS,2020,8,,-,0,,,-,,-,4,,79,,51,,87,,47,,333,,317,,261,,TEXAS,,20200847,POINT (-99.317341 31.447238)
ALASKA,2020,8,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,2,,ALASKA,,20200858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,8,,-,0,,,-,,-,,-,2,,,-,5,,,-,4,,3,,11,,DISTRICT OF COLUMBIA,,20200830,POINT (-77.016275 38.904785)
WASHINGTON,2020,8,,-,0,,,-,,-,,-,16,,16,,40,,2,,13,,32,,62,,WASHINGTON,,20200862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,8,,-,0,,,-,,-,,-,16,,38,,40,,1,,19,,60,,59,,,NEW ENGLAND,20200802,
RHODE ISLAND,2020,8,,-,0,,,-,,-,,-,4,,6,,3,,,-,5,,3,,14,,RHODE ISLAND,,20200807,POINT (-71.534637 41.572574)
OREGON,2020,8,,-,0,,,-,,-,,-,16,,28,,27,,,-,8,,23,,32,,OREGON,,20200861,POINT (-120.605279 43.940449)
DELAWARE,2020,8,,-,0,,,-,,-,,-,4,,2,,2,,,-,2,,3,,3,,DELAWARE,,20200829,POINT (-75.452394 38.994926)
ALABAMA,2020,8,,-,0,,,-,,-,,-,8,,8,,18,,,-,35,,93,,35,,ALABAMA,,20200839,POINT (-86.844516 32.756889)
KANSAS,2020,8,,-,0,,,-,,-,,-,14,,,-,9,,,-,3,,,-,10,,KANSAS,,20200822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,8,,-,0,,,-,,-,,-,20,,15,,29,,,-,16,,37,,46,,NORTH CAROLINA,,20200834,POINT (-79.130883 35.52603)
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532)
NEW JERSEY,2020,8,,-,0,,,-,,-,,-,3,,,-,8,,,-,18,,24,,161,,NEW JERSEY,,20200810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,8,,-,0,,,-,,-,,-,7,,3,,10,,,-,13,,11,,7,,NEW MEXICO,,20200854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,8,,-,0,,,-,,-,3,,75,,110,,172,,10,,36,,121,,177,,,EAST NORTH CENTRAL,20200814,
TENNESSEE,2020,8,,-,0,,,-,,-,1,,25,,27,,24,,,-,10,,23,,23,,TENNESSEE,,20200842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,8,,-,0,,,-,,-,,-,9,,7,,17,,,-,7,,20,,16,,CONNECTICUT,,20200803,POINT (-72.738288 41.575155)
MARYLAND,2020,8,,-,0,,,-,,-,,-,10,,17,,28,,2,,8,,31,,43,,MARYLAND,,20200833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,8,,-,0,,,-,,-,2,,7,,10,,8,,1,,15,,11,,14,,SOUTH CAROLINA,,20200835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,8,,-,0,,,-,,-,2,,43,,10,,7,,7,,7,,46,,8,,OKLAHOMA,,20200846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834)
OHIO,2020,8,,-,0,,,-,,-,3,,29,,49,,44,,10,,21,,51,,73,,OHIO,,20200818,POINT (-82.70936 40.415534)
MINNESOTA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200823,POINT (-94.198308 46.349153)
LOUISIANA,2020,8,,-,0,,,-,,-,,-,6,,,-,6,,,-,32,,13,,32,,LOUISIANA,,20200845,POINT (-91.840238 30.921314)
HAWAII,2020,8,,-,0,,,-,,-,,-,1,,1,,,-,,-,4,,4,,17,,HAWAII,,20200860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,8,,-,0,,,-,,-,7,,86,,153,,196,,12,,77,,208,,426,,,SOUTH ATLANTIC,20200828,
PENNSYLVANIA,2020,8,,-,0,,,-,,-,2,,26,,39,,38,,2,,10,,40,,46,,PENNSYLVANIA,,20200813,POINT (-77.838886 40.896694)
UTAH,2020,8,,-,0,,,-,,-,2,,15,,16,,16,,1,,4,,9,,9,,UTAH,,20200855,POINT (-111.678222 39.323779)
COLORADO,2020,8,,-,0,,,-,,-,4,,21,,45,,41,,3,,13,,34,,31,,COLORADO,,20200850,POINT (-105.547832 38.998552)
VERMONT,2020,8,,-,0,,,-,,-,,-,5,,8,,3,,,-,1,,2,,2,,VERMONT,,20200808,POINT (-72.662695 44.075252)
KENTUCKY,2020,8,,-,0,,,-,,-,,-,43,,2,,5,,,-,8,,1,,13,,KENTUCKY,,20200840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692)
MAINE,2020,8,,-,0,,,-,,-,,-,2,,1,,2,,,-,2,,2,,1,,MAINE,,20200804,POINT (-69.06137 45.117911)
VIRGINIA,2020,8,,-,0,,,-,,-,2,,17,,27,,21,,4,,21,,19,,27,,VIRGINIA,,20200836,POINT (-78.666382 37.510861)
ARIZONA,2020,8,,-,0,,,-,,-,2,,12,,28,,21,,4,,17,,55,,39,,ARIZONA,,20200849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20200864,
WISCONSIN,2020,8,,-,0,,,-,,-,,-,31,,33,,45,,,-,9,,15,,18,,WISCONSIN,,20200819,POINT (-89.732969 44.639954)
IDAHO,2020,8,,-,0,,,-,,-,,-,11,,1,,14,,,-,7,,,-,5,,IDAHO,,20200851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868)
MICHIGAN,2020,8,,-,0,,,-,,-,,-,15,,5,,39,,,-,12,,20,,28,,MICHIGAN,,20200817,POINT (-85.730977 44.874798)
GEORGIA,2020,8,,-,0,,,-,,-,,-,17,,16,,8,,1,,14,,37,,47,,GEORGIA,,20200832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,8,,-,0,,,-,,-,,-,26,,48,,84,,17,,55,,160,,184,,,NEW YORK CITY,20200812,
ARKANSAS,2020,8,,-,0,,,-,,-,1,,12,,6,,6,,2,,14,,8,,10,,ARKANSAS,,20200844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,8,,-,0,,,-,,-,1,,5,,6,,10,,1,,9,,11,,31,,MISSISSIPPI,,20200841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,8,,-,0,,,-,,-,,-,20,,2,,5,,,-,2,,3,,4,,SOUTH DAKOTA,,20200827,POINT (-100.230491 44.43614)
WYOMING,2020,8,,-,0,,,-,,-,,-,6,,2,,2,,,-,1,,,-,,-,WYOMING,,20200856,POINT (-107.55145 42.999627)
MISSOURI,2020,8,,-,0,,,-,,-,,-,20,,11,,31,,,-,7,,7,,15,,MISSOURI,,20200824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,8,,-,0,,,-,,-,7,,63,,124,,159,,22,,76,,256,,426,,,MIDDLE ATLANTIC,20200809,
CALIFORNIA,2020,8,,-,0,,,-,,-,,-,95,,123,,248,,3,,99,,250,,444,,CALIFORNIA,,20200859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,8,,-,0,,,-,,-,,-,4,,,-,5,,,-,2,,,-,1,,WEST VIRGINIA,,20200837,POINT (-80.613729 38.642579)
FLORIDA,2020,8,,-,0,,,-,,-,3,,33,,66,,90,,4,,42,,67,,234,,FLORIDA,,20200831,POINT (-82.420978 28.260731)
MONTANA,2020,8,,-,0,,,-,,-,,-,4,,7,,9,,,-,2,,3,,1,,MONTANA,,20200852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,8,,-,0,,,-,,-,1,,81,,51,,91,,4,,16,,42,,54,,,WEST NORTH CENTRAL,20200820,
MASSACHUSETTS,2020,8,,-,0,,,-,,-,,-,8,,13,,11,,1,,12,,33,,23,,MASSACHUSETTS,,20200805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,8,,-,0,,,-,,-,8,,52,,105,,115,,8,,39,,121,,100,,,MOUNTAIN,20200848,
INDIANA,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,8,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,,NON-US RESIDENTS,20200869,
US TERRITORIES,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200863,
